"ID","Pedigree","Comments"
"PI 648423","58611 Inbred A632","other"
"PI 648424","58609 A632 (Meth) Bc5S4","other"
"PI 648425","58610 A632 (Meth) Bc5S4","other"
"PI 648426","58612 Inbred B73","other"
"PI 648427","58613 B73 (Meth) Bc5S4","other"
"PI 648428","58614 B73 (Meth) Bc5S4","other"
"PI 648429","58615 B73 (Meth) Bc5S4","other"
"PI 648430","58801 Inbred Mo17","other"
"PI 648432","58803 Mo17 (Meth) BcS3","other"
"PI 654048","TZAR101","other"
"Ames 10252","GA222","other"
"Ames 10265","L 678","other"
"Ames 19014","Va52","other"
"Ames 19311","A641","other"
"Ames 19327","Tx303","other"
"Ames 22026","Ia Ev191","sweet corn"
"Ames 22045","NJ 116 Wa","sweet corn"
"Ames 22051","W 1736","sweet corn"
"Ames 22439","A73","other"
"Ames 22766","Tx817w","other"
"Ames 23402","A208","other"
"Ames 23433","A422","other"
"Ames 23439","A480","other"
"Ames 23480","A645","other"
"Ames 24728","MS107","other"
"Ames 26604","38-11","other"
"Ames 26771","33-16","other"
"Ames 27053","CO258","other"
"Ames 27064","A441-5","other"
"Ames 27111","EP1","other"
"Ames 27123","Ki3","other"
"Ames 27146","NC300","other"
"Ames 27185","Pa875","other"
"Ames 27446","Il778d","sweet corn"
"Ames 28957","Hi38 C1","sweet corn"
"Ames 30533","MR19 (Santo Domingo)","other"
"NSL 250299","MP307","other"
"NSL 30878","R101","other"
"NSL 30894","R177","other"
"NSL 437988","AusTRCF 306302","other"
"NSL 437989","AusTRCF 306303","other"
"NSL 437994","AusTRCF 306308","other"
"NSL 437996","AusTRCF 306310","other"
"PI 186221","INBRED 39-1084","other"
"PI 221737","A17-1-1 INBRED (POTCHEFSTROOM PEARL)","other"
"PI 221794","E697-1-1-1(S5) INBRED","other"
"PI 221805","A243-1-2(S10) INBRED (PERUVIAN)","other"
"PI 221821","E680-3-1-1(S6) INBRED","other"
"PI 257517","FC46","other"
"PI 303929","NO. 1037 INBRED","other"
"PI 303940","NO. 1201 INBRED","other"
"PI 340813","NY 123 (Neveh Yaar)","other"
"PI 340823","G14 T133","other"
"PI 340873","R-RAH-2 IN.FR.TOM-THUMB","popcorn"
"PI 358537","STRAIN T32-397-68(B)","sweet corn"
"PI 391666","YING-64","other"
"PI 406125","A641N","other"
"PI 406126","A661N","other"
"PI 406128","A691N","other"
"PI 517971","Pa468","other"
"PI 533659","SD102","other"
"PI 539872","B94","other"
"PI 550911","89302","other"
"PI 550917","88094","other"
"PI 553059","OC6","other"
"PI 587145","NC268","other"
"PI 591015","BO394Y","other"
"PI 592734","R229","other"
"PI 596500","OC13","other"
"PI 596503","OC16","other"
"PI 596506","OC19","popcorn"
"PI 601559","2369","other"
"PI 644100","Florida 32","sweet corn"
