"Year","Tier","Range","Pass","Gen","Pedigree","Source","id"
2015,3,7,42,772,"R851","NSL 42807","2015_7_42"
2015,3,35,52,1633,"Mo16W","PI 558531","2015_35_52"
2015,2,21,1,17,"C38","Ames 23506","2015_21_1"
2015,2,33,21,395,"AusTRCF 305819","NSL 437893","2015_33_21"
2015,2,22,16,62,"CO117","Ames 27039","2015_22_16"
2015,2,27,29,223,"ND257","PI 550561","2015_27_29"
2015,2,25,25,159,"ND474","NSL 32739","2015_25_25"
2015,2,21,12,27,"CL19","Ames 27026","2015_21_12"
2015,2,22,18,64,"G22 T122","PI 340821","2015_22_18"
2015,2,26,28,192,"ND256","PI 550554","2015_26_28"
2015,2,41,22,626,"LH52","PI 601360","2015_41_22"
2015,3,17,51,1085,"2 KM 368 INBRED","PI 267166","2015_17_51"
2015,2,39,7,562,"MS80","Ames 24720","2015_39_7"
2015,2,27,2,198,"CO109","PI 587125","2015_27_2"
2015,3,11,49,902,"W117","PI 587153","2015_11_49"
2015,2,40,19,604,"MBNA","PI 601209","2015_40_19"
2015,3,12,64,946,"PHG35","PI 601008","2015_12_64"
2015,2,22,22,68,"CMV3","Ames 27104","2015_22_22"
2015,3,4,44,683,"B89","PI 509542","2015_4_44"
2015,2,32,22,366,"A640","Ames 23477","2015_32_22"
2015,3,40,53,1786,"NC296","Ames 27144","2015_40_53"
2015,3,6,44,745,"MS106","Ames 24727","2015_6_44"
2015,2,37,9,504,"B103","PI 594046","2015_37_9"
2015,3,13,66,978,"B7","NSL 65863","2015_13_66"
2015,2,30,7,293,"NO. 1004 INBRED","PI 303925","2015_30_7"
2015,3,24,42,1290,"W374B","NSL 30068","2015_24_42"
2015,2,36,20,486,"YING-55","PI 391665","2015_36_20"
2015,2,26,4,170,"PLS 61/10870 subline-1","PI 343953","2015_26_4"
2015,2,37,20,515,"11430","PI 601558","2015_37_20"
2015,3,37,68,1709,"83IBI3","PI 555651","2015_37_68"
2015,3,10,62,884,"NC260","Ames 27140","2015_10_62"
2015,2,33,30,404,"NY 121 (Neveh Yaar)","PI 340812","2015_33_30"
2015,2,25,16,150,"A508","Ames 23446","2015_25_16"
2015,3,6,45,746,"B107","PI 597925","2015_6_45"
2015,3,17,46,1082,"Mo17 +/su","Ames 26764","2015_17_46"
2015,3,26,51,1359,"WFg 3-9","Ames 2340","2015_26_51"
2015,2,27,31,225,"ND260","PI 550573","2015_27_31"
2015,3,20,41,1167,"NC262A","Ames 28412","2015_20_41"
2015,2,38,27,551,"R219","NSL 29314","2015_38_27"
2015,3,7,52,782,"R-28-2","PI 340863","2015_7_52"
2015,3,17,40,1076,"MS204","Ames 24740","2015_17_40"
2015,2,25,24,158,"A678","Ames 23502","2015_25_24"
2015,3,23,40,1258,"4722","PI 587130","2015_23_40"
2015,3,12,57,941,"C103","Ames 19284","2015_12_57"
2015,3,13,58,971,"W22R","NSL 30067","2015_13_58"
2015,3,26,38,1346,"T8144 INBRED","PI 267167","2015_26_38"
2015,3,3,58,667,"A660","NSL 81600","2015_3_58"
2015,2,23,14,89,"NO. 380","PI 303924","2015_23_14"
2015,2,27,27,221,"NJ 116 Wb","Ames 22046","2015_27_27"
2015,2,21,11,26,"CL18","Ames 27025","2015_21_11"
2015,3,12,52,936,"Mo49","PI 634207","2015_12_52"
2015,3,14,47,990,"NC334","Ames 27163","2015_14_47"
2015,3,32,59,1549,"Pa871","Ames 19324","2015_32_59"
2015,2,38,8,532,"BO46W","PI 591022","2015_38_8"
2015,3,22,68,1254,"C40","Ames 22022","2015_22_68"
2015,2,32,16,361,"A556","Ames 23450","2015_32_16"
2015,2,22,15,61,"CMV3","Ames 27038","2015_22_15"
2015,2,37,30,524,"GTS1","PI 550492","2015_37_30"
2015,3,9,56,848,"PHG50","PI 601006","2015_9_56"
2015,3,33,53,1573,"SC235","Ames 10277","2015_33_53"
2015,2,27,21,216,"PHJ65","PI 543840","2015_27_21"
2015,3,5,48,719,"B93","PI 539871","2015_5_48"
2015,3,13,48,961,"PHR62","PI 601786","2015_13_48"
2015,2,26,5,171,"CO150","Ames 27041","2015_26_5"
2015,3,25,39,1317,"R903B","NSL 29285","2015_25_39"
