"ID","Pedigree","Comments","INDV","F_MISS","acc_v2.7","id_v2.7"
"NSL 29285","R903B","other","NSL29285:250034704",0.120553,"NSL29285",250034704
"NSL 29285","R903B","other","NSL29285:250041540",0.12044,"NSL29285",250041540
"NSL 29304","R216A","other","NSL29304:250031681",0.185675,"NSL29304",250031681
"NSL 29304","R216A","other","NSL29304:250042562",0.142822,"NSL29304",250042562
"NSL 30053","W22","other","NSL30053:250031621",0.0917044,"NSL30053",250031621
"NSL 30053","W22","other","NSL30053:250042563",0.0892083,"NSL30053",250042563
"NSL 30053","W22","other","NSL30053:250042564",0.0911215,"NSL30053",250042564
"NSL 30053","W22","other","NSL30053:250031704",0.0878823,"NSL30053",250031704
"NSL 30835","SD10","other","NSL30835:250034702",0.199057,"NSL30835",250034702
"NSL 30835","SD10","other","NSL30835:250041408",0.211107,"NSL30835",250041408
"NSL 30863","L","other","NSL30863:250031011",0.228079,"NSL30863",250031011
"NSL 30863","L","other","NSL30863:250041557",0.237647,"NSL30863",250041557
"NSL 30865","R2","other","NSL30865:250034744",0.178405,"NSL30865",250034744
"NSL 30865","R2","other","NSL30865:250041479",0.224444,"NSL30865",250041479
"NSL 30866","R004","other","NSL30866:250040764",0.140929,"NSL30866",250040764
"NSL 30866","R004","other","NSL30866:250031626",0.144096,"NSL30866",250031626
"NSL 30867","M14","other","NSL30867:250031956",0.131238,"NSL30867",250031956
"NSL 30867","M14","other","NSL30867:250032559",0.1328,"NSL30867",250032559
"NSL 30872","R71","other","NSL30872:250041573",0.182164,"NSL30872",250041573
"NSL 30872","R71","other","NSL30872:250033847",0.150107,"NSL30872",250033847
"NSL 30873","R74","other","NSL30873:250034753",0.164378,"NSL30873",250034753
"NSL 30873","R74","other","NSL30873:250041407",0.1791,"NSL30873",250041407
"NSL 30894","R177","other","NSL30894:250031556",0.205962,"NSL30894",250031556
"NSL 30894","R177","other","NSL30894:250031446",0.206509,"NSL30894",250031446
"NSL 30904","4226","other","NSL30904:250031169",0.249528,"NSL30904",250031169
"NSL 30904","4226","other","NSL30904:250034539",0.250529,"NSL30904",250034539
"NSL 42873","A12","other","NSL42873:250031927",0.278518,"NSL42873",250031927
"NSL 42873","A12","other","NSL42873:250041474",0.319884,"NSL42873",250041474
"NSL 43597","Tx441","other","NSL43597:250040766",0.200492,"NSL43597",250040766
"NSL 43597","Tx441","other","NSL43597:250031747",0.276361,"NSL43597",250031747
"NSL 65866","B14","other","NSL65866:250041456",0.0679937,"NSL65866",250041456
