GENOTYPE	d.T3	g.T3	a.T3	d.T	g.T	a.T	Total.Tocotrienols	Total.Tocopherols	Total.Tocochromanols
PI594069	-0.299659459836562	3.50649356580046	3.31232312131531	1.31946076220553	5.56009632146782	3.23924086862956	3.09563531545592	6.27887156900028	7.88961452163539
PI594070	-0.326398011265068	3.79663378626383	3.35788441879705	1.55216799896145	6.08366860241417	2.85265179280613	3.20848416491167	6.63937436058549	8.34286851388658
PI594071	-2.26133363550621	2.65694720835774	2.39818707527165	1.37791725513545	8.1819037933723	1.65869248566454	2.39958578035766	8.24541278408789	8.94119698194822
PI594072	-1.71942379194721	3.07841172425002	2.54910700952314	0.768128059635892	4.11211691151893	2.93455260985384	2.66993027284953	4.76225096251762	6.11506002995882
PI594073	-0.764203747144413	4.62992004542195	3.2749871297457	0.777962091621436	4.03891392876848	4.15752136554943	3.42689280314149	5.58029582280366	7.9537821091604
PI594074	0.474062952159829	4.85607215525058	2.21017560591913	0.901364869517334	3.70247761559743	2.04438779736135	3.33808266172731	3.89248067689488	6.64674305205188
PI594075	-0.233770080913227	4.86578361181424	3.39027635156782	0.903535353486514	5.73265567289716	4.47079887212565	3.52634756864988	7.07613276302812	9.20921974382195
PI594076	-0.976639925843072	3.77164202795016	3.61785158761384	1.71191469939364	8.09937804735648	2.61924314755236	3.24592873814631	8.47690044178885	9.93544754905384
PI594077	-0.955105053015857	3.27104575388361	3.15167775906738	1.46924114426462	6.79179644306276	2.4660892739315	2.94006087714364	7.13116688137362	8.39676273333956
PI594078	-0.605160622214255	3.3603360715857	3.78121808548515	0.959975835633377	3.68436237957126	2.45118241508053	3.06031150464415	4.10949764691501	6.20528725040187
PI594079	-0.174848438233778	3.91411580526177	4.02256753330507	0.929120803770963	3.56593035742427	2.35879439926417	3.40554032508305	3.96230590060889	6.87149923306406
PI594080	-0.916822818407091	3.98302210726981	2.93377880846529	2.09656318936492	10.0693849690038	1.17422544300488	3.13465807602681	10.1844635106617	11.3033640656222
PI594081	-0.230986547357929	3.94918863780904	3.04196429778523	0.921109046747452	2.69818817635094	2.45704240622745	3.16852312840075	3.28508271889765	5.91489411401421
PI594082	0.505786975069002	5.76138201102826	2.70445220368192	1.30877343341008	8.17050916246962	3.20678066088094	3.69566377497709	8.6802005765996	10.7768013807437
PI594083	0.169396593154229	5.3110013422141	2.58893798593168	1.22356576652013	7.34348111892446	3.29821058075436	3.53500389052207	7.92468282267499	9.87635539052742
