ID	Tier	Range	Pass	Year	check	is.experimental	plate	d.T3	g.T3	a.T3	d.T	g.T	a.T	Total.Tocotrienols	Total.Tocopherols	Total.Tocochromanols
Ames 22041	2	20	17	2015	99	1	21	2.443878427	34.05329946	5.125157639	3.025416949	82.67229476	2.565932736	41.62233553	88.26364445	130.890131
Ames 27043	2	21	17	2015	99	1	5	1.484202233	23.45539037	2.665881022	0.721697876	46.03808047	1.420821068	27.60547363	48.18059942	76.66046338
PI 340819	2	22	17	2015	99	1	19	1.693837957	19.52122196	6.774581051	1.599282244	49.50786939	1.886916778	27.98964097	52.99406841	81.95896154
PI 593460	2	23	17	2015	99	1	21	1.023863654	28.78188986	10.44155062	1.234375015	40.78044939	12.50596313	40.24730413	54.52078753	95.76769918
Ames 23448	2	24	17	2015	99	1	1	0.382986909	25.06398655	6.833680745	0.71564763	23.27031957	1.49134582	32.28065421	25.47731302	58.74247106
NSL 30070	2	25	17	2015	99	1	12	0.040007604	9.988670456	8.174084471	1.33241771	38.57697699	5.847456642	18.20276253	45.75685134	64.75436028
PI 535920	2	26	17	2015	99	1	9	0.122843039	4.097423664	3.798213789	1.156855553	30.7397196	5.991145498	8.018480492	37.88772065	46.63834561
Ames 22019	2	27	17	2015	99	1	4	0.221597635	5.563161343	5.376654951	1.908846167	54.88413212	7.449899828	11.16141393	64.24287812	76.28109066
Ames 24715	2	28	17	2015	99	1	1	0.482411747	37.64905158	7.041102692	0.174565206	10.13289392	3.476961741	45.17256602	13.78442087	60.30274179
14SJMY:Breed:0001	2	30	17	2015	1	0	11	2.059485564	38.65070073	7.898963394	5.941613996	45.16762916	3.209022834	48.60914968	54.31826599	103.7668905
Ames 23458	2	31	17	2015	99	1	5	3.052667232	37.34778923	4.705140584	5.07049853	101.9757648	4.927522344	45.10559705	111.9737857	157.9932551
NSL 42875	2	32	17	2015	99	1	1	1.114856817	21.35422343	4.774010197	0.203977417	10.8306736	1.307757204	27.24309044	12.34240822	40.40115405
PI 550568	2	33	17	2015	99	1	17	1.162184853	25.4930194	6.74545252	0.426043519	23.22777432	1.258574462	33.40065677	24.9123923	59.29546742
Ames 23391	2	34	17	2015	99	1	3	1.400816282	18.58595664	6.360162498	6.472922763	58.19120128	5.844870573	26.34693542	70.50899462	97.731433
Ames 28995	2	35	17	2015	99	1	12	0.058610862	3.877753545	2.654556737	1.513345296	33.8328665	0.460819197	6.590921145	35.807031	43.19144469
PI 340851	2	36	17	2015	99	1	17	0.382453637	9.910944076	3.29511112	0.93319842	40.38882244	0.882452847	13.58850883	42.2044737	56.71423976
